alim_nom_fr;Energie, R�glement UE N� 1169/2011 (kJ/100 g);Energie, R�glement UE N� 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Prot�ines, N x facteur de Jones (g/100 g);Prot�ines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG satur�s (g/100 g);AG monoinsatur�s (g/100 g);AG polyinsatur�s (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, capro�que (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, st�arique (g/100 g);AG 18:1 9c (n-9), ol�ique (g/100 g);AG 18:2 9c,12c (n-6), linol�ique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linol�nique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholest�rol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (�g/100 g);Magn�sium (mg/100 g);Mangan�se (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);S�l�nium (�g/100 g);Sodium (mg/100 g);Zinc (mg/100 g);R�tinol (�g/100 g);Beta-Carot�ne (�g/100 g);Vitamine D (�g/100 g);Vitamine E (mg/100 g);Vitamine K1 (�g/100 g);Vitamine K2 (�g/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantoth�nique (mg/100 g);Vitamine B6 (mg/100 g);Vitamine B9 ou Folates totaux (�g/100 g);Vitamine B12 (�g/100 g)
Jus de fruits, pur jus (aliment moyen);199;46,9;199;46,9;88,4;0,51;0,51;9,32;0,14;8,94;3,06;0,0049;2,34;0,038;0,072;2,88;0,015;0,27;0,094;0,38;0;1,27;0,044;0,013;0,024;0,0005;0,00043;0,00043;0,0024;0,00055;0,00088;0,017;0,0013;;;;;0,00043;0,00043;0;0,012;3,93;;0,029;0,12;1,66;9,05;0,054;14,3;154;;5,26;0,044;0;29,2;0,00013;0,16;0,16;;32,7;0,059;0,018;0,25;0,18;0,08;22,4;0
Jus d'ananas, pur jus;225;52,9;225;52,9;86,3;0,41;0,41;12,1;0,074;12,1;2,79;-;3,17;-;-;4,24;0;0,22;0;0,4;0;0,6;0,031;0,01;0,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,013;8,08;-;0,04;0,18;1;13,6;1,2;9,8;134;1,1;5,2;0,073;0;-;0;0,02;-;-;14;0,055;0,02;0,3;0,15;0,1;23;0
Jus de pomme, pur jus;208;48,9;208;48,9;88,4;0,17;0,17;11,4;0,14;10,9;5,96;0;2,13;0,5;0,5;1,44;0;0,23;0,5;0,68;0;0,6;0,046;0,006;0,039;0;0;0;0;0;0,001;0,018;0,002;-;-;-;-;0;0;0;0,022;4,32;60;0,1;0,3;1;4,56;0,1;6,59;113;0,1;13,3;0,1;0;7;0;0,01;0;-;14,5;0,013;0,01;0,043;0,045;0,042;6,75;0
Jus de l�gumes, pur jus (aliment moyen);91,7;21,7;91,7;21,7;92,4;0,72;0,72;4,66;0,13;4,46;1,3;;1,19;;;1,13;0;0,37;0,0055;0,83;0;0,4;0,036;0,005;0,033;0;0;0;;0,001;0,0005;0,015;0,0015;0,004;0,029;0,0036;0;0;0;0;0,33;8,89;134;0,068;0,45;0,87;11,7;0,08;23;258;0,7;131;0,16;0;4790;0;0,85;10,3;;24,3;0,07;0,043;0,53;0,24;0,16;8,5;0
Jus de fruits, � base de concentr� (aliment moyen);200;47,1;200;47,1;88,8;0,54;0,54;10,5;0,13;10,3;3,66;;2,69;0,12;0,084;2,94;0;0,35;0,083;0,37;0;0,91;0,031;0,018;0,027;9,8E-05;0;0;0;0,00017;0,0012;0,022;0,0076;0,024;0,03;0,0073;0;0;0;0;0,012;8,62;;0,028;0,097;3,22;9,82;0,12;14;147;3,93;4,88;0,03;0;125;0;0,24;0,027;;31,6;0,079;0,043;0,44;0,23;0,11;23,9;0
Jus d'orange sanguine, pur jus;-;-;-;-;-;0,63;0,63;10,2;0,1;9,75;-;-;-;-;-;-;-;0,68;-;0,45;0;-;0,043;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,01;-;-;-;-;-;-;-;-;-;-;4;-;0;-;0;-;-;-;39,8;-;-;-;-;-;-;0
Smoothie;-;-;-;-;84,2;0,62;0,62;12,4;0,26;11,7;5,03;-;3,41;0,15;0,15;2,59;0,35;1,08;-;0,38;0;-;0,17;-;-;0,014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,01;9,65;17,6;0,045;0,24;20;11,5;0,27;15,5;165;20;3,84;0,07;-;238;-;-;0,88;-;20,2;0,059;0,012;0,2;0,079;0,064;28,6;-
Nectar multifruit - base pomme, standard;-;-;-;-;88,7;0,28;0,28;10;0,1;10;2,9;-;2,1;0,5;0,5;5;-;0;-;0,23;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,7;-;-;78,5;-;-;-;-;-;-;-;-;-;-;-;-;0,27;-;-;35;-
Nectar multifruit - base pomme, multivitamin�;-;-;-;-;88,7;0,1;0,1;9,1;0,1;9,1;2,9;-;4,5;0,5;0,5;1,7;-;0;-;0,08;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,4;-;-;43,2;-;-;-;-;-;-;-;-;-;15,1;-;-;0,28;-;-;17;-
Nectar d'abricot;-;-;-;-;84,9;0,21;0,21;13,7;0,03;11;-;-;-;-;-;-;-;0,08;-;0,29;0;0,8;0,005;0,013;0,0059;0;0;0;0;0;0;0,0042;0,00083;-;-;-;-;0;0;0;0,0042;11,5;-;0,039;0,38;0,2;5,28;0,022;9;114;2,2;1,68;0,05;0;786;0;0,31;1,2;-;17,6;0,009;0,014;0,26;0,096;0,022;1;0
